investorName,investorType,entityName,roundSizeUsd,round,totalInvested
Equable Capital,entity,OCR Labs,30000000,Series B,60000000
Hashed,entity,Humanity Protocol,30000000,Seed,57280000
Curql,entity,Amount,30000000,Private Equity,153100000
Curql,entity,Amount,30000000,Private Equity,153100000
Brighton Park Capital,entity,AppViewX,30000000,Series A,358108584
Next Play Ventures,entity,Truework,30000000,Series B,72850000
Covalent Ventures,entity,Certn,30000000,Series B,80000000
Base10 Partners,entity,Okendo,26000000,Series A,98500000
Innovating Capital,entity,Strata Identity,26000000,Series B,283300000
Clal Insurance Enterprises Holdings,entity,Pagaya Investments,25000000,Series C,141000000
Ibex Investors,entity,Zimperium,25000000,Series C,83000000
GF Investments,entity,Pagaya Investments,25000000,Series C,141000000
LDV Partners,entity,Alcatraz AI,25000000,Series A,78200000
Curql,entity,Zest AI,23000000,Funding Round,153100000
Qiming Venture Partners,entity,MEGVII,22000000,Series B,122000000
Sinovation Ventures,entity,MEGVII,22000000,Series B,122000000
Moxxie Ventures,entity,Certn,20794686,Series A,105236690
01 Advisors,entity,Certn,20794686,Series A,516794686
Scribble Ventures,entity,Certn,20794686,Series A,100794686
Hummer Winblad Venture Partners,entity,Domo,20000000,Series A,155000000
Updata Partners,entity,Shufti Pro,20000000,Series A,97500000
Eastward Capital Partners,entity,Zest AI,20000000,Series C,32000000
Brighton Park Capital,entity,AppViewX,20000000,Series B,358108584
Overture VC,entity,Xage Security,20000000,Series B,65000000
Hanaco Venture Capital,entity,Guardz,18000000,Series A,453000000
Base10 Partners,entity,Secureframe,18000000,Series A,98500000
Section 32,entity,Pomelo,18000000,Series A,110199996
Finch Capital,entity,Fourthline,17324781,Series A,80175492
Next Play Ventures,entity,Evervault,16200000,Series A,72850000
Harpoon,entity,LeapYear Technologies,15000000,Venture - Series Unknown,115000000
Clal Insurance Enterprises Holdings,entity,Pagaya Investments,14000000,Series B,141000000
GF Investments,entity,Pagaya Investments,14000000,Series B,141000000
Mindset Ventures,entity,D-ID,13500000,Series A,34300000
MMC Ventures,entity,BotGuard,13113722,Series A,84949556
HV Capital,entity,Yapily,13000000,Series A,136853554
Eastward Capital Partners,entity,PayRange,12000000,Series A,32000000
Ibex Investors,entity,Zimperium,12000000,Series B,83000000
Hashed,entity,NuCypher,10700000,Venture - Series Unknown,57280000
